"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVN","Slovenia","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,5.8,,
"OECD","OECD - Total","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,7,,
"AUS","Australia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.7,,
"AUT","Austria","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.3,,
"BEL","Belgium","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2,,
"CAN","Canada","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.9,,
"CZE","Czech Republic","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.6,,
"DNK","Denmark","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2,,
"FIN","Finland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.2,,
"FRA","France","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.1,,
"DEU","Germany","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.8,,
"GRC","Greece","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.8,,
"HUN","Hungary","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.2,,
"ISL","Iceland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.1,,
"IRL","Ireland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.3,,
"ITA","Italy","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.5,,
"JPN","Japan","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.4,,
"KOR","Korea","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.9,,
"LUX","Luxembourg","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.7,,
"MEX","Mexico","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3.2,,
"NLD","Netherlands","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.6,,
"NZL","New Zealand","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.5,,
"NOR","Norway","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.2,,
"POL","Poland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.6,,
"PRT","Portugal","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.5,,
"SVK","Slovak Republic","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3,,
"ESP","Spain","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.8,,
"SWE","Sweden","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2,,
"CHE","Switzerland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.3,,
"TUR","Turkey","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.5,,
"GBR","United Kingdom","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3.1,,
"USA","United States","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3.1,,
"BRA","Brazil","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.2,,
"CHL","Chile","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.3,,
"EST","Estonia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.7,,
"ISR","Israel","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.5,,
"LVA","Latvia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.2,,
"SVN","Slovenia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.5,,
"OECD","OECD - Total","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.4,,
"AUS","Australia","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20,,
"AUT","Austria","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,,
"BEL","Belgium","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,,
"CAN","Canada","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,22,,
"CZE","Czech Republic","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,24,,
"DNK","Denmark","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,23,,
"FIN","Finland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,23,,
"FRA","France","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,,
"DEU","Germany","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20,,
"GRC","Greece","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,23,,
"HUN","Hungary","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,19,,
"ISL","Iceland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,24,,
"IRL","Ireland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20,,
"ITA","Italy","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,23,,
"JPN","Japan","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,22,,
"KOR","Korea","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,15,,
"LUX","Luxembourg","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,,
"MEX","Mexico","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20,,
"NLD","Netherlands","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,19,,
"NZL","New Zealand","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,26,,
"NOR","Norway","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,17,,
"POL","Poland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,22,,
"PRT","Portugal","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,,
"SVK","Slovak Republic","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,23,,
"ESP","Spain","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,,
"SWE","Sweden","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,19,,
"CHE","Switzerland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,22,,
"TUR","Turkey","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20,,
"GBR","United Kingdom","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,26,,
"USA","United States","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,19,,
"CHL","Chile","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,18,,
"EST","Estonia","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,17,,
"LVA","Latvia","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,23,,
"RUS","Russia","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,18,,
"SVN","Slovenia","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,18,,
"ZAF","South Africa","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,18,,
"OECD","OECD - Total","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20,,
"AUS","Australia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,63.5,,
"AUT","Austria","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,80.6,,
"BEL","Belgium","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,70.1,,
"CAN","Canada","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,82.2,,
"CZE","Czech Republic","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,72.3,,
"DNK","Denmark","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,83.5,,
"FIN","Finland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,85.1,,
"FRA","France","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,70.5,,
"DEU","Germany","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,72.5,,
"GRC","Greece","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,60,,
"HUN","Hungary","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,56.3,,
"ISL","Iceland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,86,,
"IRL","Ireland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,75.9,,
"ITA","Italy","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,58.4,,
"JPN","Japan","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,72.5,,
"KOR","Korea","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,66.6,,
"LUX","Luxembourg","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,75.8,,
"MEX","Mexico","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,41.8,,
"NLD","Netherlands","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,82,,
"NZL","New Zealand","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,65.7,,
"NOR","Norway","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,90.1,,
"POL","Poland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,67.3,,
"PRT","Portugal","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,73.4,,
"SVK","Slovak Republic","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,63.5,,
"ESP","Spain","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,82.1,,
"SWE","Sweden","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,75.6,,
"CHE","Switzerland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,85.3,,
"TUR","Turkey","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,59.8,,
"GBR","United Kingdom","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,77.7,,
"USA","United States","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,73.9,,
"BRA","Brazil","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,35.6,,
"CHL","Chile","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,47.9,,
"EST","Estonia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,69,,
"ISR","Israel","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,69.8,,
"LVA","Latvia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,62.4,,
"RUS","Russia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,52.8,,
"SVN","Slovenia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,86.1,,
"ZAF","South Africa","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,36.1,,
"OECD","OECD - Total","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,68.4,,
"AUT","Austria","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.6,,
"BEL","Belgium","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,2.2,,
"CAN","Canada","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,2.6,,
"CZE","Czech Republic","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.4,,
"DNK","Denmark","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.9,,
"FIN","Finland","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.9,,
"FRA","France","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.8,,
"DEU","Germany","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.8,,
"GRC","Greece","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.2,,
"HUN","Hungary","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.2,,
"ISL","Iceland","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.6,,
"IRL","Ireland","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,2.1,,
"ITA","Italy","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.4,,
"JPN","Japan","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.9,,
"KOR","Korea","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.5,,
"LUX","Luxembourg","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.9,,
"MEX","Mexico","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1,,
"NLD","Netherlands","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.9,,
"NZL","New Zealand","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,2.4,,
"NOR","Norway","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,2.1,,
"POL","Poland","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.1,,
"PRT","Portugal","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.7,,
"SVK","Slovak Republic","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.1,,
"ESP","Spain","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.9,,
"SWE","Sweden","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.7,,
"CHE","Switzerland","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.9,,
"TUR","Turkey","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1,,
"GBR","United Kingdom","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.9,,
"USA","United States","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,2.4,,
"CHL","Chile","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.2,,
"EST","Estonia","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.6,,
"ISR","Israel","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.2,,
"LVA","Latvia","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.2,,
"RUS","Russia","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,0.9,,
"SVN","Slovenia","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.5,,
"OECD","OECD - Total","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.8,,
"AUS","Australia","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,32759,,
"AUT","Austria","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,33541,,
"BEL","Belgium","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,30364,,
"CAN","Canada","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,30854,,
"CZE","Czech Republic","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,21453,,
"DNK","Denmark","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29606,,
"FIN","Finland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29943,,
"FRA","France","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,31304,,
"DEU","Germany","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,34294,,
"GRC","Greece","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,17700,,
"IRL","Ireland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,25310,,
"ITA","Italy","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,26588,,
"JPN","Japan","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29798,,
"KOR","Korea","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,21882,,
"LUX","Luxembourg","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,39264,,
"NLD","Netherlands","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29333,,
"NOR","Norway","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,35725,,
"POL","Poland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,19814,,
"PRT","Portugal","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,21203,,
"SVK","Slovak Republic","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,20474,,
"ESP","Spain","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,23999,,
"SWE","Sweden","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,31287,,
"CHE","Switzerland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,37466,,
"GBR","United Kingdom","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,28715,,
"USA","United States","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,45284,,
"EST","Estonia","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,19697,,
"LVA","Latvia","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,16275,,
"SVN","Slovenia","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,20820,,
"OECD","OECD - Total","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,33604,,
"AUS","Australia","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,427064,,
"AUT","Austria","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,308325,,
"BEL","Belgium","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,386006,,
"CAN","Canada","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,423849,,
"DNK","Denmark","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,118637,,
"FIN","Finland","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,200827,,
"FRA","France","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,280653,,
"DEU","Germany","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,259667,,
"GRC","Greece","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,150134,,
"HUN","Hungary","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,104458,,
"IRL","Ireland","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,217130,,
